State,2008 events,2012 events,2016 events,2020 events,Total
Ohio,62,73,48,13,196
Florida,46,40,71,31,188
Pennsylvania,40,5,54,47,146
North Carolina,15,3,55,25,98
Virginia,23,36,23,1,83
Colorado,20,23,19,,62
Iowa,7,27,21,5,60
Wisconsin,8,18,14,18,58
Michigan,10,1,22,21,54
Nevada,12,13,17,11,53
New Hampshire,12,13,21,4,50
Arizona,,,10,13,23
Missouri,21,,2,,23
Minnesota,2,1,2,9,14
Indiana,9,,2,1,12
New Mexico,8,,3,,11
Georgia,,,3,7,10
Maine,2,,3,2,7
Texas,,,1,3,4
Nebraska,,,2,1,3
California,,,1,,1
Connecticut,,,1,,1
D.C.,1,,,,1
Illinois,,,1,,1
Mississippi,,,1,,1
Tennessee,1,,,,1
Utah,,,1,,1
Washington,,,1,,1
West Virginia,1,,,,1
Alabama,,,,,
Alaska,,,,,
Arkansas,,,,,
Delaware,,,,,
Hawaii,,,,,
Idaho,,,,,
Kansas,,,,,
Kentucky,,,,,
Louisiana,,,,,
Maryland,,,,,
Massachusetts,,,,,
Montana,,,,,
New Jersey,,,,,
New York,,,,,
North Dakota,,,,,
Oklahoma,,,,,
Oregon,,,,,
Rhode Island,,,,,
South Carolina,,,,,
South Dakota,,,,,
Vermont,,,,,
Wyoming,,,,,
Total,300,253,399,212,"1,164"